Meal,Ingredients,Ingredients Weight (grams),Meal Type,Calories,Fat (grams),Carbohydrates (grams),Protein (grams),Calcium (mg),Vitamin C (mg),Type
Shakshuka,"Tomato, Bell Pepper, Onion, Garlic, Eggs, Olive Oil, Cumin, Paprika","200, 100, 50, 20, 4, 20, 5, 5",Breakfast,300,10,35,20,30,3,Maintain weight
Halawa,"Tahini, Sugar, Lemon Juice","100, 50, 10",Snack,200,6,30,5,25,1,Gain weight
Kofta Bel Seneya,"Ground Beef or Lamb, Onion, Parsley, Tomato Sauce, Spices (e.g., Cumin, Paprika), Olive Oil","200, 50, 20, 100, 5, 10",Dinner,300,12,25,20,30,2,Maintain weight
Grilled Fish with Steamed Vegetables,"Fish Fillet, Broccoli, Carrots, Zucchini, Lemon, Olive Oil, Salt, Pepper","150, 50, 50, 50, 20, 10, 5, 5",Dinner,280,8,15,30,25,10,Maintain weight
Quinoa Salad with Grilled Chicken,"Quinoa, Grilled Chicken Breast, Bell Pepper, Cucumber, Cherry Tomatoes, Olive Oil, Lemon Juice, Salt, Pepper","100, 100, 50, 50, 30, 10, 10, 5, 5",Lunch,300,10,25,25,20,15,Loss weight
Stir-Fried Tofu with Vegetables,"Tofu, Broccoli, Bell Pepper, Carrots, Snap Peas, Garlic, Ginger, Soy Sauce, Sesame Oil","150, 50, 50, 50, 30, 10, 5, 10, 5",Dinner,250,7,20,20,15,8,Maintain weight
Mixed Green Salad with Grilled Shrimp,"Mixed Greens, Grilled Shrimp, Cherry Tomatoes, Cucumber, Red Onion, Olive Oil, Balsamic Vinegar, Salt, Pepper","100, 100, 30, 30, 20, 10, 10, 5, 5",Lunch,220,7,15,25,15,10,Loss weight
Vegetable Soup with Lentils,"Vegetable Broth, Lentils, Carrots, Celery, Onion, Garlic, Bay Leaves, Salt, Pepper","200, 50, 50, 50, 20, 10, 2, 5, 5",Dinner,200,5,25,10,10,6,Maintain weight
Greek Yogurt Parfait with Berries,"Greek Yogurt, Mixed Berries (e.g., Strawberries, Blueberries, Raspberries), Honey, Granola","150, 50, 30, 20",Breakfast,180,3,20,15,20,8,Loss weight
Vegetable Stir-Fry with Tofu,"Tofu, Broccoli, Bell Pepper, Carrots, Snap Peas, Mushrooms, Garlic, Ginger, Soy Sauce","100, 50, 50, 50, 30, 20, 5, 5, 10",Dinner,230,6,20,15,10,8,Loss weight
Spinach Salad with Grilled Chicken,"Baby Spinach, Grilled Chicken Breast, Cherry Tomatoes, Cucumber, Red Onion, Olive Oil, Balsamic Vinegar, Salt, Pepper","100, 100, 30, 30, 20, 10, 10, 5, 5",Lunch,210,7,10,25,15,10,Loss weight
Egg White Omelette with Spinach and Mushrooms,"Egg Whites, Baby Spinach, Mushrooms, Onion, Olive Oil, Salt, Pepper","150, 50, 30, 20, 5, 5, 5",Breakfast,180,5,5,20,10,4,Loss weight
Quinoa Salad with Chickpeas and Veggies,"Quinoa, Chickpeas, Cherry Tomatoes, Cucumber, Bell Pepper, Red Onion, Lemon Juice, Olive Oil, Salt, Pepper","50, 50, 30, 30, 20, 20, 10, 10, 5, 5",Lunch,200,6,30,8,15,10,Loss weight
Grilled Vegetable Wrap,"Whole Wheat Wrap, Grilled Zucchini, Grilled Eggplant, Grilled Bell Peppers, Hummus, Baby Spinach, Balsamic Glaze","50, 30, 30, 20, 20, 10, 5",Lunch,180,4,25,5,10,8,Loss weight
Greek Yogurt with Berries and Almonds,"Greek Yogurt, Mixed Berries (Strawberries, Blueberries, Raspberries), Almonds","150, 50, 30, 10",Snack,150,5,15,10,20,6,Loss weight
